year,total_forcing,,,,,,,,,,,,,,,,,,,,,
1968,1,,,,,,,,,,,,,,,,,,,,,
1969,1,,,,,,,,,,,,,,,,,,,,,
1970,1,,,,,,,,,,,,,,,,,,,,,
1971,1,,,,,,,,,,,,,,,,,,,,,
1972,1,,,,,,,,,,,,,,,,,,,,,
1973,1,,,,,,,,,,,,,,,,,,,,,
1974,1,,,,,,,,,,,,,,,,,,,,,
1975,1,,,,,,,,,,,,,,,,,,,,,
1976,1,,,,,,,,,,,,,,,,,,,,,
1977,1,,,,,,,,,,,,,,,,,,,,,
1978,1,,,,,,,,,,,,,,,,,,,,,
1979,1,,,,,,,,,,,,,,,,,,,,,
1980,1,,,,,,,,,,,,,,,,,,,,,
1981,2,,,,,,,,,,,,,,,,,,,,,
1982,2,,,,,,,,,,,,,,,,,,,,,
1983,2,,,,,,,,,,,,,,,,,,,,,
1984,2,,,,,,,,,,,,,,,,,,,,,
1985,2,,,,,,,,,,,,,,,,,,,,,
1986,2,,,,,,,,,,,,,,,,,,,,,
1987,2,,,,,,,,,,,,,,,,,,,,,
1988,2,,,,,,,,,,,,,,,,,,,,,
1989,2,,,,,,,,,,,,,,,,,,,,,
1990,2,,,,,,,,,,,,,,,,,,,,,
1991,2,,,,,,,,,,,,,,,,,,,,,
1992,2,,,,,,,,,,,,,,,,,,,,,
1993,2,,,,,,,,,,,,,,,,,,,,,
1994,2,,,,,,,,,,,,,,,,,,,,,
1995,2,,,,,,,,,,,,,,,,,,,,,
1996,2,,,,,,,,,,,,,,,,,,,,,
1997,2,,,,,,,,,,,,,,,,,,,,,
1998,2,,,,,,,,,,,,,,,,,,,,,
1999,2,,,,,,,,,,,,,,,,,,,,,
2000,2,,,,,,,,,,,,,,,,,,,,,
2001,2,,,,,,,,,,,,,,,,,,,,,
2002,2,,,,,,,,,,,,,,,,,,,,,
2003,2,,,,,,,,,,,,,,,,,,,,,
2004,2,,,,,,,,,,,,,,,,,,,,,
2005,2,,,,,,,,,,,,,,,,,,,,,
2006,2,,,,,,,,,,,,,,,,,,,,,
2007,2,,,,,,,,,,,,,,,,,,,,,
2008,2,,,,,,,,,,,,,,,,,,,,,
2009,3,,,,,,,,,,,,,,,,,,,,,
2010,3,,,,,,,,,,,,,,,,,,,,,
2011,3,,,,,,,,,,,,,,,,,,,,,
2012,3,,,,,,,,,,,,,,,,,,,,,
2013,3,,,,,,,,,,,,,,,,,,,,,
2014,3,,,,,,,,,,,,,,,,,,,,,
2015,3,,,,,,,,,,,,,,,,,,,,,
2016,3,,,,,,,,,,,,,,,,,,,,,
2017,3,,,,,,,,,,,,,,,,,,,,,
2018,3,,,,,,,,,,,,,,,,,,,,,
2019,3,,,,,,,,,,,,,,,,,,,,,
2020,3,,,,,,,,,,,,,,,,,,,,,
2021,3,,,,,,,,,,,,,,,,,,,,,
2022,3,,,,,,,,,,,,,,,,,,,,,
2023,3,,,,,,,,,,,,,,,,,,,,,
2024,3,,,,,,,,,,,,,,,,,,,,,
2025,3,,,,,,,,,,,,,,,,,,,,,
2026,3,,,,,,,,,,,,,,,,,,,,,
2027,3,,,,,,,,,,,,,,,,,,,,,
2028,3,,,,,,,,,,,,,,,,,,,,,
2029,3,,,,,,,,,,,,,,,,,,,,,
2030,3,,,,,,,,,,,,,,,,,,,,,
2031,3,,,,,,,,,,,,,,,,,,,,,
2032,3,,,,,,,,,,,,,,,,,,,,,
2033,3,,,,,,,,,,,,,,,,,,,,,
2034,3,,,,,,,,,,,,,,,,,,,,,
2035,3,,,,,,,,,,,,,,,,,,,,,
2036,3,,,,,,,,,,,,,,,,,,,,,
2037,3,,,,,,,,,,,,,,,,,,,,,
2038,3,,,,,,,,,,,,,,,,,,,,,
2039,3,,,,,,,,,,,,,,,,,,,,,
2040,3,,,,,,,,,,,,,,,,,,,,,
2041,3,,,,,,,,,,,,,,,,,,,,,
2042,3,,,,,,,,,,,,,,,,,,,,,
2043,3,,,,,,,,,,,,,,,,,,,,,
2044,3,,,,,,,,,,,,,,,,,,,,,
2045,3,,,,,,,,,,,,,,,,,,,,,
2046,3,,,,,,,,,,,,,,,,,,,,,
2047,3.2,,,,,,,,,,,,,,,,,,,,,
2048,3.2,,,,,,,,,,,,,,,,,,,,,
2049,3.2,,,,,,,,,,,,,,,,,,,,,
2050,3.2,,,,,,,,,,,,,,,,,,,,,
2051,3.2,,,,,,,,,,,,,,,,,,,,,
2052,3.2,,,,,,,,,,,,,,,,,,,,,
2053,3.2,,,,,,,,,,,,,,,,,,,,,
2054,3.2,,,,,,,,,,,,,,,,,,,,,
2055,3.2,,,,,,,,,,,,,,,,,,,,,
2056,3.2,,,,,,,,,,,,,,,,,,,,,
2057,3.2,,,,,,,,,,,,,,,,,,,,,
2058,3.2,,,,,,,,,,,,,,,,,,,,,
2059,3.2,,,,,,,,,,,,,,,,,,,,,
2060,3.2,,,,,,,,,,,,,,,,,,,,,
2061,3.2,,,,,,,,,,,,,,,,,,,,,
2062,3.2,,,,,,,,,,,,,,,,,,,,,
2063,3.2,,,,,,,,,,,,,,,,,,,,,
2064,3.2,,,,,,,,,,,,,,,,,,,,,
2065,3.2,,,,,,,,,,,,,,,,,,,,,
2066,3.2,,,,,,,,,,,,,,,,,,,,,
2067,3.2,,,,,,,,,,,,,,,,,,,,,
2068,3.2,,,,,,,,,,,,,,,,,,,,,
2069,3.2,,,,,,,,,,,,,,,,,,,,,
2070,3.2,,,,,,,,,,,,,,,,,,,,,
2071,3.2,,,,,,,,,,,,,,,,,,,,,
2072,3.2,,,,,,,,,,,,,,,,,,,,,
2073,3.2,,,,,,,,,,,,,,,,,,,,,
2074,3.2,,,,,,,,,,,,,,,,,,,,,
2075,3.2,,,,,,,,,,,,,,,,,,,,,
2076,3.2,,,,,,,,,,,,,,,,,,,,,
2077,3.2,,,,,,,,,,,,,,,,,,,,,
2078,3.2,,,,,,,,,,,,,,,,,,,,,
2079,3.2,,,,,,,,,,,,,,,,,,,,,
2080,3.2,,,,,,,,,,,,,,,,,,,,,
2081,3.2,,,,,,,,,,,,,,,,,,,,,
2082,3.2,,,,,,,,,,,,,,,,,,,,,
2083,3.2,,,,,,,,,,,,,,,,,,,,,
2084,3.2,,,,,,,,,,,,,,,,,,,,,
2085,3.2,,,,,,,,,,,,,,,,,,,,,
2086,3.2,,,,,,,,,,,,,,,,,,,,,
2087,3.2,,,,,,,,,,,,,,,,,,,,,
2088,3.2,,,,,,,,,,,,,,,,,,,,,
2089,3.2,,,,,,,,,,,,,,,,,,,,,
2090,3.2,,,,,,,,,,,,,,,,,,,,,
2091,3.2,,,,,,,,,,,,,,,,,,,,,
2092,3.2,,,,,,,,,,,,,,,,,,,,,
2093,3.2,,,,,,,,,,,,,,,,,,,,,
2094,3.2,,,,,,,,,,,,,,,,,,,,,
2095,3.2,,,,,,,,,,,,,,,,,,,,,
2096,3.2,,,,,,,,,,,,,,,,,,,,,
2097,3.2,,,,,,,,,,,,,,,,,,,,,
2098,3.2,,,,,,,,,,,,,,,,,,,,,
2099,3.2,,,,,,,,,,,,,,,,,,,,,
2100,3.2,,,,,,,,,,,,,,,,,,,,,
